id, name, slogan, description, category, default_price 
60, "Small Granite Computer", "Dignissimos id unde perspiciatis error quaerat iure est omnis et.", "Itaque molestias officia qui ipsa dolorem earum. Et repellat recusandae. Nisi ratione optio debitis.", "Table", 369 
61, "Sleek Metal Chicken", "Ratione et inventore.", "Et quaerat perspiciatis eum voluptas expedita est voluptatem minus praesentium. Eveniet pariatur officia qui dolorem eius ullam explicabo corporis eum. Aut suscipit minima laborum ea et accusantium nisi et molestiae. Repudiandae voluptatem explicabo id ea.", "Hat", 211 
62, "Licensed Metal Chips", "Porro sunt eaque.", "Beatae modi quidem eos modi quis culpa deserunt animi. Optio voluptas animi et. Consequuntur sint cum dolores nihil. Cumque qui molestias sequi cum quaerat et architecto aliquam possimus.", "Bike", 5 
63, "Refined Soft Chair", "Molestiae sit nihil sit provident.", "Aut velit ducimus rerum qui esse sunt illo omnis aut. Eos nesciunt consequuntur ea deleniti possimus nulla dolores et deleniti. Magni quas ut dolor qui aut. Esse modi ipsam inventore quam esse atque quis nam. Quo adipisci similique dolore exercitationem maxime voluptatibus est maiores.", "Chips", 132 
64, "Tasty Granite Computer", "Aliquam amet consequatur.", "Optio molestiae tenetur officia eum voluptas dolores nostrum. Iste vel iusto perspiciatis. Tempore sed omnis aut qui ratione magnam non rerum. Voluptas dolores at eum aut autem aut itaque fuga minima.", "Fish", 99 
65, "Rustic Soft Shoes", "Dolores aut asperiores quaerat est est perspiciatis et nihil qui.", "Est nemo numquam error. Itaque et veniam ratione vero ullam. Iure minima assumenda. Necessitatibus aut rem.", "Computer", 108 
66, "Handcrafted Steel Mouse", "Officia tempore ut incidunt.", "Ipsum quia eveniet voluptatem ea voluptates sunt. Fugit delectus corrupti aut quaerat aspernatur qui. Vel aut officiis ea nesciunt.", "Tuna", 188 
67, "Practical Metal Keyboard", "Quam officiis molestiae et quos modi.", "Dignissimos ea soluta et ipsum nemo assumenda sit. Quo quia ut aut neque neque ipsum qui dolor harum. Cum nisi repellendus nostrum harum recusandae ipsum sed fugiat. Nisi natus voluptas nobis rerum ut.", "Towels", 213 
68, "Incredible Concrete Tuna", "Accusamus beatae sunt voluptatem.", "Exercitationem id impedit id natus et accusantium sequi impedit fugit. Voluptatem rerum aliquam et. Optio reiciendis ab. Molestias vero voluptas nostrum voluptatem maxime id excepturi. Quia sequi ut. Similique laudantium quidem a nobis cupiditate sunt impedit.", "Cheese", 351 
69, "Handcrafted Cotton Bike", "Porro praesentium blanditiis.", "Qui quaerat placeat et quaerat rerum aut. Eum temporibus tenetur nobis et. Neque dolores ratione.", "Hat", 38 
